Name,Type_Engag,ID_Projet,Chefferie,Annee,Services,Budget,Lat,Longi,Photo
CS Kajama,CDC 1,L-SCdc-001,Inakiluba,2024,,,-11.6522048,27.2884317,
CS Kipopo,CDC 1,L-SCdc-002,Inakiluba,2024,,,-11.5500818,27.3365559,
Dispensaire Kitanfya,Volontaire,L-SVolo-001,Inakiluba,2021,,,-11.6283613,27.2927776,
CS Lupoto rail,CDC 1,L-SCdc-003,Inakiluba,2022,,,-11.5853303,27.2346139,
CS Lupoto,DOT,L-SDot-001,Inakiluba,,,,-11.5854733,27.2348277,
Clinc Lupoto,Volontaire,L-SVolo-002,Inakiluba,2019,,,-11.5897490,27.3005358,
